iib_code,eq_zone,eq_rate
2139,Zone III,0.1
2140,Zone III,0.1
2141,Zone III,0.1
2142,Zone III,0.1
2143,Zone III,0.1
2144,Zone III,0.1
2231,Zone III,0.1
2145,Zone III,0.1
2146,Zone III,0.1
2147,Zone III,0.1
2148,Zone III,0.1
2216,Zone III,0.1
2149,Zone III,0.1
2150,Zone III,0.1
2151,Zone III,0.1
2152,Zone III,0.1
2153,Zone III,0.1
2154,Zone III,0.1
2155,Zone III,0.1
2156,Zone III,0.1
2157,Zone III,0.1
2158,Zone III,0.1
2159,Zone III,0.1
2160,Zone III,0.1
2161,Zone III,0.1
2162,Zone III,0.1
2163,Zone III,0.1
2232,Zone III,0.1
2164,Zone III,0.1
2165,Zone III,0.1
2166,Zone III,0.1
2167,Zone III,0.1
2168,Zone III,0.1
2169,Zone III,0.1
2170,Zone III,0.1
2171,Zone III,0.1
2172,Zone III,0.1
2173,Zone III,0.1
2174,Zone III,0.1
2175,Zone III,0.1
2176,Zone III,0.1
2177,Zone III,0.1
2178,Zone III,0.1
2180,Zone III,0.1
2181,Zone III,0.1
2183,Zone III,0.1
2184,Zone III,0.1
2185,Zone III,0.1
2186,Zone III,0.1
2187,Zone III,0.1
2188,Zone III,0.1
2189,Zone III,0.1
2211,Zone III,0.1
2190,Zone III,0.1
2191,Zone III,0.1
2192,Zone III,0.1
2193,Zone III,0.1
2194,Zone III,0.1
2195,Zone III,0.1
2196,Zone III,0.1
2197,Zone III,0.1
2198,Zone III,0.1
2199,Zone III,0.1
2200,Zone III,0.1
2201,Zone III,0.1
2202,Zone III,0.1
2203,Zone III,0.1
2204,Zone III,0.1
2205,Zone III,0.1
2206,Zone III,0.1
2207,Zone III,0.1
2208,Zone III,0.1
4900,Zone III,0.1
3001,Zone III,0.1
3002,Zone III,0.1
3003,Zone III,0.1
3004,Zone III,0.1
3005,Zone III,0.1
3006,Zone III,0.1
3007,Zone III,0.1
3008,Zone III,0.1
3009,Zone III,0.1
3010,Zone III,0.1
3011,Zone III,0.1
3012,Zone III,0.1
3013,Zone III,0.1
3014,Zone III,0.1
3015,Zone III,0.1
3016,Zone III,0.1
3017,Zone III,0.1
3018,Zone III,0.1
3019,Zone III,0.1
4001,Zone III,0.1
4012,Zone III,0.1
4002,Zone III,0.1
4013,Zone III,0.1
4019,Zone III,0.1
4003,Zone III,0.1
4014,Zone III,0.1
4018,Zone III,0.1
4004,Zone III,0.1
4015,Zone III,0.1
4005,Zone III,0.1
